	id	main_affiliation	category
229	pub.1126886855	grid.410711.2	Medical Microbiology
230	pub.1126886855	grid.410711.2	Medical and Health Sciences
231	pub.1126923209	grid.17635.36	Medical and Health Sciences
232	pub.1127167480	grid.185648.6	Clinical Sciences
233	pub.1127167480	grid.185648.6	Medical and Health Sciences
234	pub.1127167480	grid.224260.0	Clinical Sciences
235	pub.1127167480	grid.224260.0	Medical and Health Sciences
236	pub.1127167480	grid.413561.4	Clinical Sciences
237	pub.1127167480	grid.413561.4	Medical and Health Sciences
238	pub.1127167480	grid.5386.8	Clinical Sciences
239	pub.1127167480	grid.5386.8	Medical and Health Sciences
240	pub.1127167480	grid.239578.2	Clinical Sciences
241	pub.1127167480	grid.239578.2	Medical and Health Sciences
242	pub.1127167480	grid.410821.e	Clinical Sciences
243	pub.1127167480	grid.410821.e	Medical and Health Sciences
244	pub.1127167480	grid.5718.b	Clinical Sciences
245	pub.1127167480	grid.5718.b	Medical and Health Sciences
246	pub.1127167480	grid.152326.1	Clinical Sciences
247	pub.1127167480	grid.152326.1	Medical and Health Sciences
248	pub.1127167480	grid.415960.f	Clinical Sciences
249	pub.1127167480	grid.415960.f	Medical and Health Sciences
250	pub.1127167480	grid.508487.6	Clinical Sciences
251	pub.1127167480	grid.508487.6	Medical and Health Sciences
252	pub.1127167480	grid.416905.f	Clinical Sciences
253	pub.1127167480	grid.416905.f	Medical and Health Sciences
254	pub.1127167480	grid.413780.9	Clinical Sciences
255	pub.1127167480	grid.413780.9	Medical and Health Sciences
256	pub.1127167480	grid.9024.f	Clinical Sciences
257	pub.1127167480	grid.9024.f	Medical and Health Sciences
258	pub.1127167480	grid.5608.b	Clinical Sciences
259	pub.1127167480	grid.5608.b	Medical and Health Sciences
260	pub.1127167480	grid.439338.6	Clinical Sciences
261	pub.1127167480	grid.439338.6	Medical and Health Sciences
262	pub.1127167480	grid.410569.f	Clinical Sciences
263	pub.1127167480	grid.410569.f	Medical and Health Sciences
264	pub.1127167480	grid.413558.e	Clinical Sciences
265	pub.1127167480	grid.413558.e	Medical and Health Sciences
266	pub.1127239016	grid.10392.39	Public Health and Health Services
267	pub.1127239016	grid.10392.39	Medical and Health Sciences
268	pub.1127239016	grid.470019.b	Public Health and Health Services
269	pub.1127239016	grid.470019.b	Medical and Health Sciences
270	pub.1127241353	grid.4488.0	Public Health and Health Services
271	pub.1127241353	grid.4488.0	Medical and Health Sciences
272	pub.1127244380	grid.5603.0	Good Health and Well Being
273	pub.1127244380	grid.5603.0	Public Health and Health Services
274	pub.1127244380	grid.5603.0	Medical and Health Sciences
275	pub.1127244380	grid.412301.5	Good Health and Well Being
276	pub.1127244380	grid.412301.5	Public Health and Health Services
277	pub.1127244380	grid.412301.5	Medical and Health Sciences
278	pub.1127244380	grid.6289.5	Good Health and Well Being
279	pub.1127244380	grid.6289.5	Public Health and Health Services
280	pub.1127244380	grid.6289.5	Medical and Health Sciences
281	pub.1127244380	grid.22937.3d	Good Health and Well Being
282	pub.1127244380	grid.22937.3d	Public Health and Health Services
283	pub.1127244380	grid.22937.3d	Medical and Health Sciences
284	pub.1127376888	grid.89336.37	Biochemistry and Cell Biology
285	pub.1127376888	grid.89336.37	Biological Sciences
286	pub.1127376888	grid.5342.0	Biochemistry and Cell Biology
287	pub.1127376888	grid.5342.0	Biological Sciences
288	pub.1127376888	grid.419681.3	Biochemistry and Cell Biology
289	pub.1127376888	grid.419681.3	Biological Sciences
290	pub.1127376888	grid.254880.3	Biochemistry and Cell Biology
291	pub.1127376888	grid.254880.3	Biological Sciences
292	pub.1127376888	grid.11486.3a	Biochemistry and Cell Biology
293	pub.1127376888	grid.11486.3a	Biological Sciences
294	pub.1127378322	grid.424065.1	Organic Chemistry
295	pub.1127378322	grid.424065.1	Chemical Sciences
296	pub.1127378322	grid.466493.a	Organic Chemistry
297	pub.1127378322	grid.466493.a	Chemical Sciences
298	pub.1127378322	grid.18785.33	Organic Chemistry
299	pub.1127378322	grid.18785.33	Chemical Sciences
300	pub.1127378322	grid.9026.d	Organic Chemistry
301	pub.1127378322	grid.9026.d	Chemical Sciences
302	pub.1127378322	grid.434729.f	Organic Chemistry
303	pub.1127378322	grid.434729.f	Chemical Sciences
304	pub.1127378322	grid.419538.2	Organic Chemistry
305	pub.1127378322	grid.419538.2	Chemical Sciences
306	pub.1127378322	grid.7683.a	Organic Chemistry
307	pub.1127378322	grid.7683.a	Chemical Sciences
308	pub.1127378322	grid.20861.3d	Organic Chemistry
309	pub.1127378322	grid.20861.3d	Chemical Sciences
310	pub.1127378322	grid.469852.4	Organic Chemistry
311	pub.1127378322	grid.469852.4	Chemical Sciences
312	pub.1127378322	grid.418010.c	Organic Chemistry
313	pub.1127378322	grid.418010.c	Chemical Sciences
314	pub.1127378322	grid.4562.5	Organic Chemistry
315	pub.1127378322	grid.4562.5	Chemical Sciences
316	pub.1127378322	grid.418481.0	Organic Chemistry
317	pub.1127378322	grid.418481.0	Chemical Sciences
318	pub.1127378322	grid.457168.9	Organic Chemistry
319	pub.1127378322	grid.457168.9	Chemical Sciences
320	pub.1127378322	grid.9122.8	Organic Chemistry
321	pub.1127378322	grid.9122.8	Chemical Sciences
322	pub.1127413820	grid.13648.38	Medical and Health Sciences
323	pub.1127418584	grid.440386.d	Medical and Health Sciences
324	pub.1127418584	grid.475435.4	Medical and Health Sciences
325	pub.1127429502	grid.414796.9	Medical Microbiology
326	pub.1127429502	grid.414796.9	Medical and Health Sciences
327	pub.1127429502	grid.11348.3f	Medical Microbiology
328	pub.1127429502	grid.11348.3f	Medical and Health Sciences
329	pub.1127536832	grid.254250.4	Good Health and Well Being
