	id	category
414	pub.1132243796	Other Physical Sciences
415	pub.1132243796	Clinical Sciences
416	pub.1132243796	Physical Sciences
417	pub.1132243796	Medical and Health Sciences
418	pub.1132243829	Clinical Sciences
419	pub.1132243829	Medical and Health Sciences
420	pub.1132294775	Paediatrics and Reproductive Medicine
421	pub.1132294775	Public Health and Health Services
422	pub.1132294775	Medical and Health Sciences
423	pub.1132321841	Applied Economics
424	pub.1132321841	Economics
425	pub.1132321841	Decent Work and Economic Growth
426	pub.1132339010	Genetics
427	pub.1132339010	Immunology
428	pub.1132339010	Biological Sciences
429	pub.1132339010	Medical and Health Sciences
430	pub.1132420900	Immunology
431	pub.1132420900	Medical and Health Sciences
432	pub.1132451777	Clinical Sciences
433	pub.1132451777	Medical and Health Sciences
434	pub.1132451825	Cardiorespiratory Medicine and Haematology
435	pub.1132451825	Medical and Health Sciences
436	pub.1132452614	Medical and Health Sciences
437	pub.1132490817	Medical Microbiology
438	pub.1132490817	Medical and Health Sciences
439	pub.1132496874	Clinical Sciences
440	pub.1132496874	Medical and Health Sciences
441	pub.1132502583	Applied Economics
442	pub.1132502583	Economics
443	pub.1132581290	Cardiorespiratory Medicine and Haematology
444	pub.1132581290	Medical and Health Sciences
445	pub.1132625841	Clinical Sciences
446	pub.1132625841	Public Health and Health Services
447	pub.1132625841	Other Medical and Health Sciences
448	pub.1132625841	Medical and Health Sciences
449	pub.1132635498	Pharmacology and Pharmaceutical Sciences
450	pub.1132635498	Medical and Health Sciences
451	pub.1132683657	Medical Physiology
452	pub.1132683657	Medical and Health Sciences
453	pub.1132714885	Clinical Sciences
454	pub.1132714885	Medical and Health Sciences
455	pub.1132727798	Specialist Studies In Education
456	pub.1132727798	Education
457	pub.1132826176	Public Health and Health Services
458	pub.1132826176	Medical and Health Sciences
459	pub.1132882180	Neurosciences
460	pub.1132882180	Medical and Health Sciences
461	pub.1132897150	Clinical Sciences
462	pub.1132897150	Oncology and Carcinogenesis
463	pub.1132897150	Medical and Health Sciences
464	pub.1132924631	Banking, Finance and Investment
465	pub.1132924631	Commerce, Management, Tourism and Services
466	pub.1132929229	Banking, Finance and Investment
467	pub.1132929229	Commerce, Management, Tourism and Services
468	pub.1132946915	Biochemistry and Cell Biology
469	pub.1132946915	Biological Sciences
