	full_name	main_affiliation
2563	m_patel	grid.51462.34
2170	l_lange	grid.500045.4
2168	l_kuderna	grid.507636.1
2569	m_perc	grid.8647.d
2163	l_klimek	grid.500035.3
2162	l_klemke	grid.411984.1
2571	m_pfeifer	grid.411941.8
2156	l_hupe	grid.419514.c
2152	l_hattenbach	grid.413225.3
2146	l_goldman	grid.21107.35
2581	m_psychogios	grid.410567.1
2582	m_putman	grid.16753.36
2142	l_geys	grid.12155.32
2589	m_rankovic	grid.418140.8
2131	l_forsberg	grid.4714.6
2634	m_soddemann	grid.5718.b
2175	l_liévano-latorre	grid.411195.9
2021	k_mar	grid.267313.2
2008	k_korn	grid.5330.5
2684	m_vorgerd	grid.412471.5
2686	m_voso	grid.6530.0
1999	k_karničar	grid.457168.9
1997	k_kallio	grid.7737.4
2692	m_weig	grid.411984.1
2693	m_weigand	grid.5253.1
2694	m_weigel	grid.410567.1
2696	m_wenderoth	grid.7450.6
1986	k_holzapfel	grid.419801.5
1984	k_hohloch	grid.452286.f
1982	k_hoffmann-sommergruber	grid.22937.3d
1981	k_hellwig	grid.491957.7
2675	m_ugarte-gil	grid.430666.1
2022	k_martens	grid.5596.f
2071	k_stevenson	grid.65499.37
2668	m_tobiasson	grid.4714.6
2070	k_steinbrink	grid.5949.1
2068	k_stegmann	grid.411984.1
2636	m_sommer	grid.411984.1
2646	m_sticherling	grid.5330.5
2047	k_roose	grid.11486.3a
2045	k_reiners	grid.507577.7
2044	k_reich	grid.13648.38
2040	k_pueschel	grid.13648.38
2039	k_peuker	grid.4488.0
2662	m_thomas	grid.5253.1
2663	m_thomsen	grid.154185.c
2029	k_menghrajani	grid.51462.34
2028	k_meissner	grid.7450.6
2173	l_levanov	grid.7737.4
2178	l_malcovati	grid.8982.b
1457	h_liu	grid.214007.0
2340	m_fiedler	grid.5253.1
2449	m_klumpp	grid.469827.6
2330	m_endres	grid.6363.0
2458	m_kox	grid.10417.33
2324	m_edwards	grid.24827.3b
2323	m_eckermann	grid.7450.6
2464	m_kretzschmar	grid.7692.a
2467	m_krott	grid.7450.6
2307	m_djannatian	grid.6936.a
2304	m_della porta	grid.452490.e
2301	m_danckaerts	grid.5596.f
2476	m_laporte	grid.415751.3
2295	m_creignou	grid.4714.6
2342	m_follo	grid.6292.f
2285	m_cazzola	grid.8982.b
2444	m_kjolby	grid.7048.b
2399	m_hoffman	grid.7450.6
2396	m_heuser	grid.10423.34
2395	m_hertl	grid.10253.35
2386	m_hallek	grid.6190.e
2413	m_jaedersten	grid.24381.3c
2416	m_janiak	grid.8752.8
2380	m_gut	grid.5612.0
2376	m_greve	grid.7450.6
2419	m_joensuu	grid.1003.2
2423	m_judson	grid.413558.e
2367	m_glatzel	grid.13648.38
2363	m_ghadimi	grid.411984.1
2429	m_kamler	grid.410718.b
2346	m_fox	grid.32224.35
2480	m_laue	grid.13652.33
2556	m_osuchowski	grid.454388.6
2524	m_meier	grid.7892.4
2221	l_szirovicza	grid.7737.4
2528	m_metz	grid.6363.0
2533	m_motro	grid.12136.37
2210	l_romanova	grid.465277.5
2203	l_reinert	grid.7048.b
2201	l_raich	grid.14095.39
2545	m_netea	grid.10417.33
2195	l_pilgram	grid.411088.4
2194	l_peeters	grid.12155.32
2193	l_pedro	grid.6936.a
2548	m_oellerich	grid.411984.1
2549	m_ohlsson	grid.411843.b
2552	m_olma	grid.14095.39
2183	l_naesens	grid.415751.3
2222	l_sørensen	grid.7048.b
2227	l_truemper	grid.411984.1
2492	m_lindenmeyer	grid.13648.38
2228	l_van schie	grid.11486.3a
2494	m_littmann	grid.6936.a
2273	m_boentert	grid.16149.3b
2270	m_bikson	grid.254250.4
2268	m_besse	grid.411984.1
2262	m_belickova	grid.419035.a
2505	m_luetgehetmann	grid.13648.38
2506	m_magyari	grid.475435.4
2254	m_anker	grid.6363.0
2245	m_akasaka	grid.136594.c
2244	m_aepfelbacher	grid.13648.38
2522	m_mckee	grid.8991.9
1979	k_hellbach	grid.5253.1
2703	m_wielpuetz	grid.5253.1
2704	m_wight-carter	grid.267313.2
1640	j_cadanet	grid.7048.b
2940	p_irrgang	grid.411668.c
2942	p_jabbour	grid.412726.4
1625	j_bousquet	grid.7429.8
1622	j_boultwood	grid.4991.5
1621	j_boger	grid.4562.5
2952	p_keown	grid.17091.3e
1615	j_bennett	grid.412750.5
1596	i_wilson	grid.214007.0
1594	i_van der mei	grid.1009.8
2974	p_lauermann	grid.411984.1
1586	i_pink	grid.10423.34
1584	i_perfecto	grid.214458.e
1582	i_pali-schoell	grid.22937.3d
1639	j_bělohlávek	grid.411798.2
2936	p_heuschmann	grid.411760.5
1571	i_maier	grid.411984.1
1646	j_cavaillon	grid.22058.3d
1703	j_hasselstrøm	grid.7048.b
1702	j_hampe	grid.4488.0
1695	j_grosskreutz	grid.275559.9
1694	j_grossberg	grid.189967.8
2901	p_baum	grid.411339.d
1687	j_geier	grid.411984.1
1684	j_freund	grid.411984.1
1680	j_frank	grid.411984.1
2905	p_brlic	grid.22939.33
2909	p_chitirala	grid.11749.3a
2910	p_christopoulos	grid.5253.1
1666	j_drozdz	grid.8267.b
2918	p_fenaux	grid.508487.6
2923	p_gawron	grid.16008.3f
2929	p_greenberg	grid.168010.e
1574	i_martin-loeches	grid.416409.e
1570	i_kotsianidis	grid.12284.3d
1975	k_haverkamp	grid.411984.1
3036	p_schulze	grid.275559.9
3043	p_steininger	grid.5330.5
3045	p_stroebel	grid.411984.1
3048	p_tan	grid.418377.e
1487	h_rohloff	grid.7450.6
3055	p_urban	grid.491957.7
1482	h_rau	grid.7450.6
1481	h_ramangason	grid.22072.35
3056	p_valent	grid.22937.3d
3057	p_van der meer	grid.4494.d
3066	p_vitek	grid.500058.8
3068	p_v’kovski	grid.438536.f
1467	h_mizuno	grid.459873.4
1460	h_lv	grid.482283.7
1507	h_sitter	grid.10253.35
1567	i_karpics	grid.475756.2
1508	h_skouri	grid.22903.3a
1565	i_huttegger	grid.413000.6
1563	i_gut	grid.5612.0
3000	p_mohm	grid.469999.2
3003	p_negret	grid.1003.2
1549	i_dunkel	grid.419538.2
1546	i_chung	grid.5253.1
3008	p_oesterlund	grid.14758.3f
1537	i_bento	grid.475756.2
3016	p_robinson	grid.1003.2
1532	h_ziauddeen	grid.5335.0
3022	p_runst	grid.411984.1
1522	h_tsurumi	grid.256342.4
1518	h_thibaut	grid.5596.f
3030	p_schirmacher	grid.5253.1
1510	h_stalder	grid.5734.5
1709	j_hepojoki	grid.7400.3
2884	o_søgaard	grid.7048.b
2752	n_ebert	grid.5734.5
2768	n_gattermann	grid.411327.2
2772	n_hanners	grid.267313.2
2776	n_hens	grid.12155.32
1869	j_smith	grid.420451.6
1865	j_silver	grid.4991.5
1864	j_signerski-krieger	grid.411984.1
1863	j_sheltzer	grid.225279.9
1862	j_settele	grid.7492.8
1853	j_schoggins	grid.267313.2
1847	j_schmidt	grid.411984.1
1842	j_schefold	grid.5734.5
1912	j_zaitseva-doyle	grid.9026.d
1714	j_higham	grid.137628.9
1920	k_amschler	grid.411984.1
2717	m_wong	grid.13648.38
1962	k_ghoreschi	grid.6363.0
2720	m_yuan	grid.214007.0
1955	k_fassbender	grid.411937.9
1953	k_fargen	grid.241167.7
2725	m_zweckstetter	grid.418140.8
1951	k_eyerich	grid.6936.a
2735	n_ben-tal	grid.12136.37
1936	k_corbett	grid.419681.3
1931	k_brockow	grid.6936.a
2744	n_callewaert	grid.11486.3a
1927	k_bolton	grid.51462.34
1924	k_bergmann	grid.6363.0
2748	n_danchin	grid.414093.b
1839	j_schaefer	grid.412282.f
1836	j_rybakowski	grid.22254.33
2807	n_novak	grid.15090.3d
1830	j_rogers	grid.39382.33
1747	j_kopicki	grid.418481.0
1743	j_kissenkoetter	grid.7450.6
2874	o_pfaar	grid.10253.35
1734	j_jansen	grid.10417.33
1731	j_isensee	grid.419514.c
1725	j_huang	grid.5254.6
1723	j_horvath	grid.421582.8
1718	j_ho	grid.32224.35
1716	j_hillert	grid.4714.6
2854	o_gokce	grid.5252.0
1803	j_nicolau	grid.11899.38
1826	j_ring	grid.6936.a
1820	j_radke	grid.484013.a
1818	j_qiu	grid.6936.a
2819	n_stallard	grid.7372.1
1805	j_orkin	grid.507636.1
1796	j_mueller	grid.410712.1
1767	j_liew	grid.34477.33
1783	j_mclellan	grid.89336.37
1781	j_mascitelli	grid.267309.9
1779	j_martens	grid.10423.34
2849	o_fedrigo	grid.134907.8
1769	j_loboda	grid.11375.31
463	b_howard	grid.189967.8
3761	t_tscharntke	grid.7450.6
481	b_lewis	grid.413469.d
3758	t_teesalu	grid.7737.4
484	b_maas	grid.10420.37
3753	t_spinetti	grid.5734.5
497	b_pieske	grid.452396.f
3748	t_smura	grid.7737.4
3746	t_skirecki	grid.414852.e
503	b_rost	grid.6936.a
510	b_schilling	grid.411760.5
515	b_schroeder	grid.7450.6
3731	t_schneider	grid.475756.2
532	b_wang	grid.168010.e
533	b_wedi	grid.10423.34
3726	t_salditt	grid.7450.6
3724	t_roedig	grid.411984.1
538	b_wilker	grid.5718.b
3717	t_raupach	grid.411984.1
3713	t_proeger	grid.411984.1
473	b_kirwan	grid.83440.3b
462	b_hoernich	grid.418215.b
742	c_schneider-gold	grid.491957.7
458	b_graham	grid.419681.3
382	a_sweid	grid.412726.4
3828	u_platzbecker	grid.9647.c
385	a_takaori-kondo	grid.258799.8
389	a_tobi	grid.10939.32
3825	u_olgemoeller	grid.7450.6
396	a_tran	grid.10423.34
3819	u_lippert	grid.411984.1
