	id	for_v1_first_level	for_v1_first_level_code	for_v1_second_level	for_v1_second_level_code
104	pub.1129098340	Medical and Health Sciences	11	Neurosciences	1109
105	pub.1129098340	Medical and Health Sciences	11	Ophthalmology and Optometry	1113
106	pub.1129135257	Medical and Health Sciences	11	Clinical Sciences	1103
107	pub.1129135257	Medical and Health Sciences	11	Neurosciences	1109
108	pub.1129135257	Medical and Health Sciences	11	Ophthalmology and Optometry	1113
109	pub.1129330280	Medical and Health Sciences	11	Clinical Sciences	1103
110	pub.1129330280	Medical and Health Sciences	11	Neurosciences	1109
111	pub.1129362640	Medical and Health Sciences	11	Clinical Sciences	1103
112	pub.1129381955	Medical and Health Sciences	11	Medical Microbiology	1108
113	pub.1129386398	Medical and Health Sciences	11	Clinical Sciences	1103
114	pub.1129386398	Medical and Health Sciences	11	Immunology	1107
115	pub.1129386398	Medical and Health Sciences	11	Public Health and Health Services	1117
116	pub.1129392550	Medical and Health Sciences	11	Immunology	1107
117	pub.1129411242	Medical and Health Sciences	11	Clinical Sciences	1103
118	pub.1129480028	Medical and Health Sciences	11	Medical Microbiology	1108
119	pub.1129486798	Engineering	09	Biomedical Engineering	0903
120	pub.1129486798	Medical and Health Sciences	11	Clinical Sciences	1103
121	pub.1129507005	Medical and Health Sciences	11	Medical Microbiology	1108
122	pub.1129535099	Medical and Health Sciences	11	Medical Microbiology	1108
123	pub.1129540973	Medical and Health Sciences	11	Neurosciences	1109
124	pub.1129565167	Mathematical Sciences	01	Statistics	0104
125	pub.1129567644	Medical and Health Sciences	11	Public Health and Health Services	1117
126	pub.1129571738	Medical and Health Sciences	11	Immunology	1107
127	pub.1129571738	Medical and Health Sciences	11	Medical Microbiology	1108
128	pub.1129579425	Medical and Health Sciences	11	Immunology	1107
129	pub.1129584790	Philosophy and Religious Studies	22	Religion and Religious Studies	2204
130	pub.1129664214	Medical and Health Sciences	11	Clinical Sciences	1103
131	pub.1129664214	Medical and Health Sciences	11	Immunology	1107
132	pub.1129665412	Medical and Health Sciences	11	Immunology	1107
133	pub.1129670106	Economics	14	Applied Economics	1402
134	pub.1129673636	Biological Sciences	06	Biochemistry and Cell Biology	0601
135	pub.1129684001	Information and Computing Sciences	08	Information Systems	0806
136	pub.1129684001	Commerce, Management, Tourism and Services	15	Business and Management	1503
137	pub.1129824693	Medical and Health Sciences	11	Public Health and Health Services	1117
138	pub.1129870290	Agricultural and Veterinary Sciences	07	Crop and Pasture Production	0703
139	pub.1129870290	Engineering	09	Food Sciences	0908
140	pub.1129897197	Medical and Health Sciences	11	Immunology	1107
141	pub.1129903168	Medical and Health Sciences	11	Clinical Sciences	1103
142	pub.1129903168	Medical and Health Sciences	11	Immunology	1107
143	pub.1129903168	Medical and Health Sciences	11	Public Health and Health Services	1117
144	pub.1129912096	Medical and Health Sciences	11	Medical Microbiology	1108
145	pub.1129925107	Studies in Human Society	16	Political Science	1606
146	pub.1129936821	Medical and Health Sciences	11	Clinical Sciences	1103
147	pub.1129991152	Medical and Health Sciences	11	Immunology	1107
148	pub.1129991152	Medical and Health Sciences	11	Neurosciences	1109
149	pub.1130052340	Biological Sciences	06	Genetics	0604
150	pub.1130128326	Medical and Health Sciences	11		None
151	pub.1130153559	Medical and Health Sciences	11		None
152	pub.1130167203	Medical and Health Sciences	11	Neurosciences	1109
153	pub.1130204521	Medical and Health Sciences	11	Clinical Sciences	1103
154	pub.1130216912	Biological Sciences	06	Biochemistry and Cell Biology	0601
155	pub.1130232015	Biological Sciences	06	Biochemistry and Cell Biology	0601
156	pub.1130237957	Medical and Health Sciences	11	Clinical Sciences	1103
157	pub.1130237957	Medical and Health Sciences	11	Immunology	1107
158	pub.1130238130	Medical and Health Sciences	11	Clinical Sciences	1103
159	pub.1130238130	Medical and Health Sciences	11	Immunology	1107
160	pub.1130238730	Medical and Health Sciences	11	Clinical Sciences	1103
161	pub.1130238730	Medical and Health Sciences	11	Immunology	1107
162	pub.1130254848	Medical and Health Sciences	11	Medical Microbiology	1108
163	pub.1130327830	Psychology and Cognitive Sciences	17	Psychology	1701
164	pub.1130327902	Medical and Health Sciences	11	Oncology and Carcinogenesis	1112
165	pub.1130340158	Medical and Health Sciences	11	Public Health and Health Services	1117
166	pub.1130340744	Medical and Health Sciences	11	Clinical Sciences	1103
167	pub.1130392179	Medical and Health Sciences	11		None
168	pub.1130392179	Psychology and Cognitive Sciences	17		None
169	pub.1130397336	Medical and Health Sciences	11	Cardiorespiratory Medicine and Haematology	1102
170	pub.1130504966	Medical and Health Sciences	11	Cardiorespiratory Medicine and Haematology	1102
171	pub.1130538308	Medical and Health Sciences	11	Clinical Sciences	1103
172	pub.1130575443	Medical and Health Sciences	11		None
173	pub.1130577951	Medical and Health Sciences	11	Immunology	1107
174	pub.1130649899	Medical and Health Sciences	11	Ophthalmology and Optometry	1113
175	pub.1130654923	Medical and Health Sciences	11	Clinical Sciences	1103
176	pub.1130674538	Medical and Health Sciences	11	Clinical Sciences	1103
177	pub.1130674538	Medical and Health Sciences	11	Neurosciences	1109
178	pub.1130674538	Medical and Health Sciences	11	Ophthalmology and Optometry	1113
179	pub.1130687096	Medical and Health Sciences	11	Immunology	1107
180	pub.1130718178	Medical and Health Sciences	11	Immunology	1107
181	pub.1130787494	Medical and Health Sciences	11	Medical Microbiology	1108
182	pub.1130838131	Medical and Health Sciences	11	Immunology	1107
183	pub.1130905765	Medical and Health Sciences	11	Pharmacology and Pharmaceutical Sciences	1115
184	pub.1130928774	Medical and Health Sciences	11	Public Health and Health Services	1117
185	pub.1130970490	Economics	14	Econometrics	1403
186	pub.1130985011	Medical and Health Sciences	11	Public Health and Health Services	1117
187	pub.1130993678	Medical and Health Sciences	11	Clinical Sciences	1103
188	pub.1131077045	Medical and Health Sciences	11	Clinical Sciences	1103
189	pub.1131077045	Medical and Health Sciences	11	Immunology	1107
190	pub.1131077045	Medical and Health Sciences	11	Public Health and Health Services	1117
191	pub.1131101178	Law and Legal Studies	18	Law	1801
192	pub.1131202528	Commerce, Management, Tourism and Services	15	Business and Management	1503
193	pub.1131204097	Biological Sciences	06	Microbiology	0605
194	pub.1131204097	Medical and Health Sciences	11	Immunology	1107
195	pub.1131215812	Chemical Sciences	03	Medicinal and Biomolecular Chemistry	0304
196	pub.1131215812	Chemical Sciences	03	Organic Chemistry	0305
197	pub.1131215812	Chemical Sciences	03	Theoretical and Computational Chemistry	0307
198	pub.1131216008	Medical and Health Sciences	11	Public Health and Health Services	1117
199	pub.1131255014	Environmental Sciences	05	Environmental Science and Management	0502
200	pub.1131304301	Medical and Health Sciences	11	Immunology	1107
