	main_affiliation	category	category_count
293	grid.500035.3	Medical and Health Sciences	3
294	grid.412282.f	Immunology	3
295	grid.1957.a	Immunology	3
296	grid.15474.33	Medical and Health Sciences	3
297	grid.10392.39	Immunology	3
298	grid.469999.2	Immunology	3
299	grid.16149.3b	Immunology	3
300	grid.8664.c	Immunology	3
301	grid.410718.b	Immunology	3
302	grid.7692.a	Medical and Health Sciences	3
303	grid.410712.1	Immunology	3
304	grid.419835.2	Medical and Health Sciences	3
305	grid.411760.5	Public Health and Health Services	3
306	grid.31501.36	Biological Sciences	3
307	grid.4305.2	Medical and Health Sciences	3
308	grid.26009.3d	Medical and Health Sciences	3
309	grid.415093.a	Cardiorespiratory Medicine and Haematology	3
310	grid.4708.b	Cardiorespiratory Medicine and Haematology	3
311	grid.5330.5	Biological Sciences	3
312	grid.411095.8	Clinical Sciences	3
313	grid.6363.0	Good Health and Well Being	3
314	grid.410718.b	Clinical Sciences	3
315	grid.46699.34	Medical and Health Sciences	3
316	grid.8267.b	Medical and Health Sciences	3
317	grid.12136.37	Medical and Health Sciences	3
318	grid.9026.d	Medical and Health Sciences	3
319	grid.475756.2	Medical and Health Sciences	3
320	grid.7700.0	Medical and Health Sciences	3
321	grid.6363.0	Public Health and Health Services	3
322	grid.410607.4	Public Health and Health Services	3
323	grid.10493.3f	Good Health and Well Being	3
324	grid.484678.1	Medical and Health Sciences	3
325	grid.8647.d	Medical and Health Sciences	3
326	grid.12847.38	Medical and Health Sciences	3
327	grid.411778.c	Medical and Health Sciences	3
328	grid.15090.3d	Medical and Health Sciences	3
329	grid.13648.38	Public Health and Health Services	3
330	grid.5718.b	Biochemistry and Cell Biology	3
331	grid.5718.b	Biological Sciences	3
332	grid.24827.3b	Biochemistry and Cell Biology	3
333	grid.24827.3b	Biological Sciences	3
334	grid.24381.3c	Medical and Health Sciences	3
335	grid.410712.1	Good Health and Well Being	3
336	grid.38142.3c	Biological Sciences	3
337	grid.7776.1	Chemical Sciences	2
338	grid.7468.d	Microbiology	2
339	grid.412970.9	Biological Sciences	2
340	grid.452463.2	Microbiology	2
341	grid.452463.2	Biochemistry and Cell Biology	2
342	grid.7468.d	Biochemistry and Cell Biology	2
343	grid.469896.c	Medical and Health Sciences	2
344	grid.412970.9	Medical Microbiology	2
345	grid.13652.33	Medical Microbiology	2
346	grid.13652.33	Biological Sciences	2
347	grid.5570.7	Immunology	2
348	grid.267313.2	Medical Microbiology	2
349	grid.134907.8	Immunology	2
350	grid.134907.8	Medical Microbiology	2
351	grid.134907.8	Medical and Health Sciences	2
352	grid.5734.5	Immunology	2
353	grid.438536.f	Immunology	2
354	grid.189504.1	Immunology	2
355	grid.189504.1	Medical Microbiology	2
356	grid.164971.c	Immunology	2
357	grid.164971.c	Medical Microbiology	2
358	grid.164971.c	Medical and Health Sciences	2
359	grid.5802.f	Good Health and Well Being	2
360	grid.5253.1	Good Health and Well Being	2
361	grid.5253.1	Cardiorespiratory Medicine and Haematology	2
362	grid.412301.5	Clinical Sciences	2
363	grid.419802.6	Medical and Health Sciences	2
364	grid.412468.d	Clinical Sciences	2
365	grid.89336.37	Biochemistry and Cell Biology	2
366	grid.89336.37	Biological Sciences	2
367	grid.5342.0	Biochemistry and Cell Biology	2
368	grid.5342.0	Biological Sciences	2
369	grid.419681.3	Biochemistry and Cell Biology	2
370	grid.419681.3	Biological Sciences	2
371	grid.254880.3	Biochemistry and Cell Biology	2
372	grid.254880.3	Biological Sciences	2
373	grid.11486.3a	Biochemistry and Cell Biology	2
374	grid.11486.3a	Biological Sciences	2
375	grid.7563.7	Medical and Health Sciences	2
376	grid.7836.a	Clinical Sciences	2
377	grid.29980.3a	Clinical Sciences	2
378	grid.38603.3e	Medical and Health Sciences	2
379	grid.239395.7	Immunology	2
380	grid.16753.36	Public Health and Health Services	2
381	grid.462844.8	Immunology	2
382	grid.66875.3a	Public Health and Health Services	2
383	grid.29980.3a	Public Health and Health Services	2
384	grid.21107.35	Immunology	2
385	grid.21107.35	Public Health and Health Services	2
386	grid.1003.2	Clinical Sciences	2
387	grid.239915.5	Public Health and Health Services	2
388	grid.430666.1	Immunology	2
389	grid.430666.1	Public Health and Health Services	2
390	grid.267313.2	Clinical Sciences	2
391	grid.4367.6	Immunology	2
392	grid.62560.37	Immunology	2
393	grid.185648.6	Clinical Sciences	2
394	grid.185648.6	Medical and Health Sciences	2
395	grid.413561.4	Clinical Sciences	2
396	grid.413561.4	Medical and Health Sciences	2
397	grid.5386.8	Clinical Sciences	2
398	grid.5386.8	Medical and Health Sciences	2
399	grid.5718.b	Clinical Sciences	2
400	grid.152326.1	Clinical Sciences	2
401	grid.508487.6	Clinical Sciences	2
402	grid.9024.f	Medical and Health Sciences	2
403	grid.5608.b	Clinical Sciences	2
404	grid.5608.b	Medical and Health Sciences	2
405	grid.413558.e	Clinical Sciences	2
406	grid.413558.e	Medical and Health Sciences	2
407	grid.5603.0	Good Health and Well Being	2
408	grid.412301.5	Good Health and Well Being	2
409	grid.412301.5	Public Health and Health Services	2
410	grid.22937.3d	Good Health and Well Being	2
411	grid.440386.d	Medical and Health Sciences	2
412	grid.414796.9	Medical and Health Sciences	2
413	grid.254250.4	Medical and Health Sciences	2
414	grid.10420.37	Medical and Health Sciences	2
415	grid.8051.c	Public Health and Health Services	2
416	grid.8051.c	Medical and Health Sciences	2
417	grid.155956.b	Medical and Health Sciences	2
418	grid.1005.4	Good Health and Well Being	2
419	grid.1005.4	Medical and Health Sciences	2
420	grid.1002.3	Public Health and Health Services	2
421	grid.11899.38	Public Health and Health Services	2
422	grid.419524.f	Medical and Health Sciences	2
423	grid.22072.35	Public Health and Health Services	2
424	grid.22072.35	Medical and Health Sciences	2
425	grid.417778.a	Medical and Health Sciences	2
426	grid.7400.3	Good Health and Well Being	2
427	grid.239395.7	Good Health and Well Being	2
428	grid.411702.1	Public Health and Health Services	2
429	grid.4991.5	Good Health and Well Being	2
430	grid.489540.4	Oncology and Carcinogenesis	2
431	grid.9613.d	Clinical Sciences	2
432	grid.261331.4	Cardiorespiratory Medicine and Haematology	2
433	grid.261331.4	Medical and Health Sciences	2
434	grid.39382.33	Medical and Health Sciences	2
435	grid.189509.c	Cardiorespiratory Medicine and Haematology	2
436	grid.189509.c	Medical and Health Sciences	2
437	grid.266102.1	Medical and Health Sciences	2
438	grid.17063.33	Cardiorespiratory Medicine and Haematology	2
439	grid.7372.1	Medical and Health Sciences	2
440	grid.168010.e	Genetics	2
441	grid.168010.e	Biological Sciences	2
442	grid.266102.1	Biological Sciences	2
443	grid.17091.3e	Biochemistry and Cell Biology	2
444	grid.17091.3e	Biological Sciences	2
445	grid.13652.33	Neurosciences	2
446	grid.7468.d	Neurosciences	2
447	grid.452463.2	Neurosciences	2
448	grid.18887.3e	Clinical Sciences	2
449	grid.469999.2	Clinical Sciences	2
450	grid.6936.a	Medical Microbiology	2
